2348.TW 海悅 現價:68.6
2348A.TW 海悅甲特 現價:33.60
2349.TW 錸德 現價:8.53
2351.TW 順德 現價:98.6
2352.TW 佳世達 現價:44.60
2353.TW 宏碁 現價:37.40
2354.TW 鴻準 現價:55.0
2355.TW 敬鵬 現價:34.70
2356.TW 英業達 現價:57.0
2357.TW 華碩 現價:384.0
2358.TW 廷鑫 現價:9.36
2359.TW 所羅門 現價:39.45
2360.TW 致茂 現價:266.0
2362.TW 藍天 現價:32.20
2363.TW 矽統 現價:26.40
2364.TW 倫飛 現價:78.6
2365.TW 昆盈 現價:11.25
2367.TW 燿華 現價:16.40
2368.TW 金像電 現價:203.5
2369.TW 菱生 現價:17.00
2371.TW 大同 現價:50.6
2373.TW 震旦行 現價:75.7
2374.TW 佳能 現價:22.20
2375.TW 凱美 現價:61.2
2376.TW 技嘉 現價:312.0
2377.TW 微星 現價:173.0
2379.TW 瑞昱 現價:417.5
2380.TW 虹光 現價:9.65
2382.TW 廣達 現價:256.0
2383.TW 台光電 現價:427.0
2385.TW 群光 現價:102.5
2387.TW 精元 現價:45.00
2388.TW 威盛 現價:108.0
2390.TW 云辰 現價:12.00
2392.TW 正崴 現價:42.95
2393.TW 億光 現價:48.40
2395.TW 研華 現價:345.5
2397.TW 友通 現價:67.2
2399.TW 映泰 現價:23.60
2401.TW 凌陽 現價:30.25
2402.TW 毅嘉 現價:37.60
2404.TW 漢唐 現價:225.0
2405.TW 輔信 現價:14.55
2406.TW 國碩 現價:15.80
2408.TW 南亞科 現價:64.6
2409.TW 友達 現價:17.65
2412.TW 中華電 現價:117.5
2413.TW 環科 現價:27.70
2414.TW 精技 現價:33.00
2415.TW 錩新 現價:34.00
2417.TW 圓剛 現價:20.55
2419.TW 仲琦 現價:35.85
2420.TW 新巨 現價:45.70
2421.TW 建準 現價:137.5
2423.TW 固緯 現價:32.90
2424.TW 隴華 現價:34.35
2425.TW 承啟 現價:52.1
2426.TW 鼎元 現價:17.30
2427.TW 三商電 現價:23.10
2428.TW 興勤 現價:156.5
2429.TW 銘旺科 現價:16.00
2430.TW 燦坤 現價:38.80
2431.TW 聯昌 現價:10.60
2432.TW 倚天酷碁-創 現價:43.00
2433.TW 互盛電 現價:50.8
2434.TW 統懋 現價:30.25
2436.TW 偉詮電 現價:59.9
2438.TW 翔耀 現價:22.50
2439.TW 美律 現價:88.7
2440.TW 太空梭 現價:14.20
2441.TW 超豐 現價:59.8
2442.TW 新美齊 現價:19.00
2443.TW 昶虹 現價:3.41
2444.TW 兆勁 現價:12.10
2449.TW 京元電子 現價:62.0
2450.TW 神腦 現價:35.60
2451.TW 創見 現價:70.5
2453.TW 凌群 現價:52.2
2454.TW 聯發科 現價:674
2455.TW 全新 現價:126.0
2457.TW 飛宏 現價:69.8
2458.TW 義隆 現價:113.5
2459.TW 敦吉 現價:58.6
2460.TW 建通 現價:26.00
2461.TW 光群雷 現價:22.90
2462.TW 良得電 現價:38.45
2464.TW 盟立 現價:37.15
2465.TW 麗臺 現價:35.70
2466.TW 冠西電 現價:36.85
2467.TW 志聖 現價:44.60
2468.TW 華經 現價:27.20
2471.TW 資通 現價:50.2
2472.TW 立隆電 現價:54.6
2474.TW 可成 現價:166.5
2476.TW 鉅祥 現價:45.55
2477.TW 美隆電 現價:19.90
2478.TW 大毅 現價:44.60
2480.TW 敦陽科 現價:113.0
2481.TW 強茂 現價:63.1
2482.TW 連宇 現價:50.9
2483.TW 百容 現價:24.35
2484.TW 希華 現價:34.10
2485.TW 兆赫 現價:20.10
2486.TW 一詮 現價:47.25
2488.TW 漢平 現價:37.65
2489.TW 瑞軒 現價:12.20
2491.TW 吉祥全 現價:14.00
2492.TW 華新科 現價:94.5
2493.TW 揚博 現價:66.4
2495.TW 普安 現價:20.60
2496.TW 卓越 現價:51.6
2497.TW 怡利電 現價:62.6
2498.TW 宏達電 現價:50.7
2501.TW 國建 現價:15.00
2504.TW 國產 現價:26.60
2505.TW 國揚 現價:18.90
2506.TW 太設 現價:9.06
2509.TW 全坤建 現價:14.85
2511.TW 太子 現價:11.10
2514.TW 龍邦 現價:16.30
2515.TW 中工 現價:9.99
2516.TW 新建 現價:6.98
2520.TW 冠德 現價:32.60
2524.TW 京城 現價:31.00
2527.TW 宏璟 現價:23.30
2528.TW 皇普 現價:29.00
2530.TW 華建 現價:25.50
2534.TW 宏盛 現價:18.95
2535.TW 達欣工 現價:33.10
2536.TW 宏普 現價:25.20
2537.TW 聯上發 現價:7.12
2538.TW 基泰 現價:14.10
2539.TW 櫻花建 現價:45.50
2540.TW 愛山林 現價:94.6
2542.TW 興富發 現價:42.95
